,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
128,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
129,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
130,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
131,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
132,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
133,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
134,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
135,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
136,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
137,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
138,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
139,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
140,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
141,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
142,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
143,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
144,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
145,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
146,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
147,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
148,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
149,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
150,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
151,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
152,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
153,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
154,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
155,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
156,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
157,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
158,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
159,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
160,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
161,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
162,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
163,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
164,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
165,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
166,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
167,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
168,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
169,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
170,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
171,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
172,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
173,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
174,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
175,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
176,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
177,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
178,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
179,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
180,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
181,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
182,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
183,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
184,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
185,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
186,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
187,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
188,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
189,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
190,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
191,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
192,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
193,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
194,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
195,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
196,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
197,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
198,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
199,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
200,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
201,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
202,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
203,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
204,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
205,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
206,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
207,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
208,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
209,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
210,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
211,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
212,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
213,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
