,Brands,type_,year,km,fuel,Prices,owner,downpayments
248,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
249,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
250,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
251,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
252,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
253,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
254,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
255,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
256,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
257,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
258,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
259,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
260,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
261,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
262,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
263,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
264,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
265,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
266,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
267,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
268,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
269,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
270,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
271,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
272,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
273,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
274,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
275,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
276,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
277,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
278,Maruti,Celerio,2018,"17,885",Petrol,"₹4,46,199",1st,"₹8,723/month"
